cleaned_stemmed,sentiment_prediction
iya nonton langsug telusur komentar tambah bahagia banget haru kaya mimpi obat kecewa tampil timnas teman ubah haluan favorit tim sayang pilih tim eropa kali tim asia bikin bangga tim tsb negara bahagia lebih jago tim eropa,negative
udah bagus timnas indo stamina biar aman main,positive
arab bantai sbk,positive
onta main akting,positive
asa indonesia laga piala dunia kualifikasi,positive
rela begadang lihat timnas god game si bawa poin arab,positive
lumayan,positive
cari,positive
oh indonesia,positive
puluh nonton timnas kali lihat main apik tenang,positive
bantai bahrain tahan imbang yangvlawanya hebat bahrain bangga proges timnas,positive
bagus tv belah rcti tolong kasih paham tv belah bikin cuplik bola,positive
streaming dihp rcti susah banget pdahal tanding timnas indonesia,negative
main bgus indonesia kali oke sih tetep semangat merah putih ku,positive
sedap banget nonton main timnas,positive
mancini dag dig dug jederre,negative
doa serta tim indonesia,positive
pemaine impor,positive
bagus ky timnas indo,positive
great job indonesia jaya indonesia,positive
kaya indonesia lolos lihat gin,negative
optimis runner grup bawah jepang,positive
semangat garuda ku,positive
mantap timnas,positive
omegat omegat omegat,positive
bangga main orang indonesia asli bangga main orang indo,positive
king indo kasih paham arab saudi indo rekor,positive
main home ayo indonesia habis arab,positive
maju sepak bola indonesia,positive
arab frustasi lawan indonesia,negative
arab pinter drama asu,positive
kali raffa gagal passing,negative
komentator,positive
timnas keren pol main,positive
menit rafael egois ngak oper ragnar,negative
rapor merah rafael struick bnyak passing kunci gagal jalan poles power passing,negative
verdonk mode carvajal,positive
gin timnas jagok peras beda,negative
mimpi masuk piala dunia,positive
main naturalisasi biji nonton bule si,positive
ragnarr keren banget kerenn pol,negative
iya moment jay sikap professional tactical ridho profesional sikap terima tegur endingnya jay peluk ridho jalan lancar mrk profesional,positive
main timnas indonesia mimpi nyata,positive
timnas baik milik indonesia tanding,positive
terima kasih rcti baik highlighnya full pelit pasti mantap smoga sukses rcti oke,positive
berkat datang paus indonesia indonesia berkat tahan arab saudi poin uma paus berkat,positive
rcti ok bikin highlight,positive
uda nonton ampe kali saking senang,positive
salim al dawsary top player,positive
maksud gimana bang,negative
latih saudi mancini,positive
main naturalisasi imbang saudi,positive
tau indo lawan negara timur lemash udah tau bulan doang eh skrg main indonesia bagus gin bangga,positive
struick injak coba nginjak main indo merah var,negative
menang ku sanjung kalah ku dukung moga omong gus dur bukti,positive
main asli bangsa indonesia mana iya main muka eropa banyak,positive
tim merah putih tim orange,neutral
pake alhamdulillah keren banget,positive
moga laga main moga poin amin lur,positive
maen sepakbola,positive
intrik untung tuan rumah indonesia tang,positive
indonesia main lemah bagus argentina,positive
doa suporter imbang,positive
main lokal bajar main naturalisasi bangga ngeliat main timnas era beda timnas bosan main bikin kesel emosi ngeliatnya moga timnas lolos piala dunia aamiin yra,negative
lawan arap doang imbang sok soan masuk pildun lawak indo,negative
kayak nonton belanda versus arab saudi,positive
main away home serasa main rumah dukung tki arab saudi salut suporter indonesia dukung timnas arab saudi,positive
melcini latih timnas iya tinggal informasi,positive
mantap keren timnas senior bola indonesia bagus semangat,positive
coba indo kasih striker mbappe lolos pildun ahaha,positive
main imbang saudi arabia peringkat fifa indonesia paes mantul,positive
mantav,positive
rafael,positive
penuh hormat bangga indonesia,positive
dikit menag,negative
ragnar mode kepala botak,negative
indonesia jaman hindia belanda main isi main bule,negative
gg coy menit hd nyala rcti,negative
ne sia,neutral
indo maen emosi,negative
semangat indonesia cinta,positive
mantep bet,positive
peluang emas bnyak indo,positive
mantap rcti pelit kaya indosiar,positive
menyalaa,positive
bukti kelas layak pildun tajam lini serang bravo timnas,positive
bangga bangett timnas level ini,positive
coach sty please bawa rivaldo rumere tipikal obrak abrik witan tukang gedor licin,positive
salutt bravooi pssi milik timnas alias tim naturalisasi nyak,positive
gagah garuda ku terima kasih iya allah,positive
bagus timnas materi mai orang turun skalian biar sangar mai hehe,positive
kali timnas mai wajar sih mai eropa bilang arab saudi versus tim eropa turun hehe mantap indonesia,positive
knpa rcti siarin yah susah akses nonton rumah,negative
menang haru lihat main gin,negative
rcti baik tayang pelit durasi,positive
juang timnas indonesia,positive
arab saudi imbang permianan king indo,positive
salut kiper marten paes tenang buru antisipasi tendang penalty,positive
senang tayang rcti komentator ahay bosan beda belah,positive
komentator sotoy,positive
bhkan mmbayangkan indo main level,positive
dj,positive
lumayan poin,positive
indonesia habis arab saudi imbang hidup indonesia ku,positive
bangga timnas keren serasa lihat piala dunia,positive
gbk dizoom gelap banget area tribun pasang lampu biar tonton wjhnya nampak,negative
timnas indonesia main bola,positive
rcti berasaa beneran lihat bolaa nyaa,positive
sia sia ijin pulang kerjaa nonton indonesia,negative
indonesia lolos pildun gampang kunci stamina stabil jamin lolos,positive
game willie salim hadiah miliar udah tayang youtube,positive
dukung naturalisasi,positive
pandang mancini tonton seraya buset bener tonton suporter indonesia,positive
komentatorx bagus soalx suka bilang alhamdulillah,positive
pepe indonesia,positive
bangga tim indonesia,positive
iya allah ijinkanlah negara gila bola lolos piala dunia,positive
roberto mancini pusing,positive
ragnar best,positive
ragnar body ballnya kuat susah curang main ibrahimovic awas kasar kasar,negative
imbang menang nyala timnasku tunggu next home match bantai,positive
mistri main sepenuh ketemu anda sdah ketemu gol cipta gawang saudi,negative
indonesia lolos piala dunia,positive
main orang asli lahir didik indonesia hormat naturalisasi kasihan main duduk lapang betapa hancur asa hati tatap hebat instan bangga asa campur aduk capai instan nilai semu alias tipu,positive
peluang terakhirr ituu,positive
timnas manajemen main deven fi menit,positive
ragnar tomhaye totalitas juang habis habis merah putih bangga mreka,negative
rcti mantap pelit ngasi cuplik nonton langsung,positive
rela libur dagang nonton idola timnas indonesia,positive
sayang banget peluang,positive
nato versus arab saudi,positive
ku pesimis lesu timnas main hati nyala timnas tunggu penuh gembira,negative
tonton langsung karna kerja highlight indonesia moga tahan tampil apik kiper baru blunder bayar tepis pinalti lawan suka timnas indonesia bravo timnas ku,positive
wak haji hold play close ball control determinasi body balance stamina daya jelajah bagus nih cocok second striker false nine playmaker final third ragnarninho,positive
apresiasi timnas nyala abang,positive
kipper blunder,negative
good next gbk,positive
senang bangga hasil imbang lawan ksa pildun kemarin ksa versus argentina kejut menang ksa timbul sombong akirnya ksa juru kunci hal indonesia grub neraka jepang australia absen pildun arab saudi kontestan pildun qatar kemarin indonesia peluang lolos putar semangat,positive
mas peh salam plat ag,positive
hati hati timnas indo main disiplin kotak finalti salah depan lebi,negative
ragnar main tonjol,positive
keypass rafael struick assist witan support goal sandy walsh goal ragnar nyala garuda,positive
kereen kereen bravo timnas,positive
tahan main bagus timnas indonesia lolos piala dunia kualisifikasi justin nyala arab saudi kalah king asia,positive
main lokal main lokal sll akurat moga main lokal kualitas,positive
semenjak pssi pegang erick thohir tim nas dunia bagus main kelas eropa main,positive
struck lembek ganti,negative
iya allah izin negara masyarakat gila bola tampil putar final piala dunia aamiinn yra,positive
gin main diving indo,positive
blunder tes skil doang anjir,negative
peluang indonesia piala dunia buka,positive
isi timnas persija keliling klub eropa,positive
paes lawan lawan main arab masuk highlight,positive
sia ngikutin timnas timnas maen pas jam sekolah rela bolos pas kerja jga bain bolos,negative
bermimli timnas indonesia timnas maroko iya,positive
semangat indo,positive
indonesia striker haus goal gelandang serang bek tenang idzes mejadi raja asia tanding lawan kelas arab seri udah bagus ayo terbang garudakuu terima kasih coach shin staff latih terima kasih erick tohir terima kasih main timnas tunjuk tonton kelas tanding,positive
trending,positive
hatur nuhun poin na timnas,negative
rizki ridho witan main bagus bnget,positive
bosen nonton hebat timnas indonesia ku,positive
teroris,negative
percaya percaya main era sty bagus bagus dukung wasit karna sekian kali main zona afc indonesia jarang untung kemarin versus korea selatan wasit jeli alhasil indonesia menang,positive
semangat timnas,positive
pbnu hrs negara sdg obok baalawikan,negative
main lokal indonesia iya,positive
komentator pas tanding biar asa tanding internasional biar asa kaya aff,positive
highlight tuh gin kaya tv belah goalnya masukin kocak,positive
main imbang raih poin timnas serasa menang main kandang lawan lawan arab langgan lumbung gol,negative
suka oratmangoen,positive
amazing indonesia,positive
good game bravo indonesia ku garuda yess,positive
kk,positive
kereenn garuda muda,positive
udah bilang kiper udah paes jaga indo kelas thailan vietnam malay kiper obat,positive
marteen paes cuman ngpi babak,negative
indonesia menang main balik dukung indonesia,positive
gilir indo main komentator mulu,negative
keren timnas ampe pangling lihat maennya martin paes debut skill gokil jam terbang bohong,negative
babak loyo karna masukin main lokal slalu salah pasing serang kaya bingung main babak ganti bagus,positive
netes air mata pd tanding selesai garuda garuda bangga moga tgl australia kandang garuda kuat semangat garuda bangga,positive
nih bocil kantnya main lokal main naturalisasi dasar cucu si towel towel,negative
ragnar jaga fan dy lepas jaga goal,positive
salut bikin hi lite lengkap bravo timnas,positive
komentator wesley hutagalung,positive
maju timnas pssi garuda indonesia ku,positive
bang sandyicecream crossing powerr banget,negative
roberto mancini latih hebat anak asuh hasil tahan imbang indonesia kandang,positive
rcti menang udah hebat masuk youtube cuan,positive
salah udah nunggu debut merinding bangga lihat highligt kadang suka mao nang anjir nyangka timnas smpai titik squad hebat mimpi timnas main ria liga eropa skrang alhamdulillah umur saksi tanding timnas impi isi pemaen internasional terima kasih iya allah terima kasih erick terus pssi momen emas timnas rindu love garuda timnas love eric teammates honestly euro kmren ikutin jago tim elite eropa skrag tunggu tanding timnas bangga bangga bangga lebih banggan timnas lebay iya impi rindu serah mao bilang neng,positive
emang beda iya main udah makan protein banding karbo badan stamina kuat,positive
salem ngeri,positive
min selamat marteen paes highlight min,positive
hasil tahan imbang arab saudi patut syukur apresiasi lebay pundit heran timnas nahan imbang arab lihhat skuad mesti gitu kejut bagong palestina away tahan imbang korsel negara luluh lantah main asli da liga minim infrastruktur main cecer klub level level eropa sekitar teluk palng jaun si rashid maen liga indo financial ada bangga banget palestina anda main local indonesia kaca serba kurang palestina malu et sty mesti blusukan cari naturalisasi,negative
siapaa kitaa indonesiaa,positive
forza indonesia salam,positive
kaka marten maannyyaallaa,positive
indonesia keren,positive
indonesia kuat bobol lawan,positive
puter ulang tanding ndak bosan,negative
witan lincah,positive
momen umpan rafael peluang bagus menit penalti gagal paes menit ragnar kosong depan gawang ksa indonesia keren klinis selesai peluang,positive
kelas eropa,positive
suka timnas bilang halahh arab saudi diturunin main lapis,positive
seru toko mebel jepara dukung penuh indonesia lolos piala dunia bravoo,positive
ridho ferrari masuk hemm ngeri ngeri sedap,positive
joss joss laki jebol gawan pansii,negative
